시군구,읍면동,구분,전체수
중랑구,소계,국민기초생활보장 수급권자,9283
강남구,소계,국민기초생활보장 수급권자,5218
강동구,소계,국민기초생활보장 수급권자,6213
강북구,소계,국민기초생활보장 수급권자,5923
강서구,소계,국민기초생활보장 수급권자,11609
관악구,소계,국민기초생활보장 수급권자,8017
광진구,소계,국민기초생활보장 수급권자,4260
구로구,소계,국민기초생활보장 수급권자,5361
금천구,소계,국민기초생활보장 수급권자,4887
노원구,소계,국민기초생활보장 수급권자,10894
도봉구,소계,국민기초생활보장 수급권자,5591
동대문,소계,국민기초생활보장 수급권자,6471
동작구,소계,국민기초생활보장 수급권자,4816
마포구,소계,국민기초생활보장 수급권자,3939
서대문구,소계,국민기초생활보장 수급권자,4343
서초구,소계,국민기초생활보장 수급권자,2538
성동구,소계,국민기초생활보장 수급권자,3776
성북구,소계,국민기초생활보장 수급권자,6039
송파구,소계,국민기초생활보장 수급권자,5708
양천구,소계,국민기초생활보장 수급권자,6389
영등포구,소계,국민기초생활보장 수급권자,3598
용산구,소계,국민기초생활보장 수급권자,3022
은평구,소계,국민기초생활보장 수급권자,8985
종로구,소계,국민기초생활보장 수급권자,2363
중구,소계,국민기초생활보장 수급권자,2762
