자치구,elderly_native,elderly_basic,alone_basic,alone_low,alone_total,고령자 경제취약 비중,경제취약 독거노인 비중(기초생활수급자),경제취약 독거노인 비중(저소득층),통합지표,경제취약 독거노인 통합비중
금천구,47037,6482,4887,1587,19795,13.780640772158087,10.389693220230882,3.373939664519421,13.763632884750304,13.763632884750304
강서구,107246,16412,11609,1077,40551,15.30313484885217,10.824646140648603,1.004233258116853,11.828879398765455,11.828879398765455
중랑구,83299,12823,9283,331,23982,15.393942304229343,11.144191406859626,0.39736371385010627,11.541555120709733,11.541555120709733
노원구,100467,15746,10894,551,27817,15.6728079867021,10.843361501786656,0.5484387908467457,11.391800292633402,11.391800292633402
중구,26408,3441,2762,173,8088,13.030142381096638,10.458951832777947,0.6551045137837019,11.114056346561647,11.114056346561647
은평구,97788,12138,8985,1616,24602,12.412565959013376,9.188243956313658,1.6525545056653168,10.840798461978975,10.840798461978975
동대문구,69314,8277,6471,393,19403,11.941310557751681,9.335776322243703,0.5669850246703407,9.902761346914044,9.902761346914044
강북구,71227,11689,5923,1107,21570,16.410911592514076,8.315666811742737,1.5541859126454856,9.869852724388224,9.869852724388224
관악구,88138,10739,8017,397,24154,12.184301890217613,9.095963148698631,0.45043000748825707,9.54639315618689,9.54639315618689
종로구,29574,2906,2363,371,9076,9.826198688036788,7.990126462433218,1.2544802867383513,9.24460674917157,9.24460674917157
도봉구,74149,7656,5591,1099,19132,10.325156104600197,7.54022306437039,1.4821508044612874,9.022373868831677,9.022373868831677
성북구,83353,8145,6039,1273,28027,9.771693880244262,7.245090158722542,1.5272395714611353,8.772329730183676,8.772329730183676
양천구,80174,8856,6389,439,19007,11.045975004365506,7.968917604210842,0.5475590590465736,8.516476663257414,8.516476663257414
성동구,51030,5106,3776,433,12612,10.005878894767783,7.399568881050363,0.8485204781501077,8.24808935920047,8.24808935920047
서대문구,59685,5799,4343,525,14894,9.716009047499371,7.2765351428332075,0.8796179944709727,8.15615313730418,8.15615313730418
용산구,38894,3858,3022,110,13417,9.919267753380984,7.769835964416105,0.2828199722322209,8.052655936648327,8.052655936648327
마포구,59612,5730,3939,650,14426,9.612158625780044,6.607729987250889,1.0903844863450312,7.69811447359592,7.69811447359592
강동구,89687,8371,6213,540,22874,9.333571197609464,6.927425379374938,0.6020939489558129,7.52951932833075,7.52951932833075
광진구,59334,5642,4260,194,18923,9.508881922675027,7.17969461017292,0.3269626183975461,7.506657228570465,7.506657228570465
동작구,72783,6362,4816,491,16473,8.741052168775676,6.616929777557947,0.6746080815575065,7.291537859115453,7.291537859115453
강남구,91291,7768,5218,1173,23747,8.509053466387705,5.715787974718209,1.2849021261679683,7.000690100886177,7.000690100886177
구로구,82027,7406,5361,313,21474,9.028734441098663,6.535652894778549,0.38158167432674606,6.917234569105295,6.917234569105295
영등포구,68568,6185,3598,212,17340,9.020242678800606,5.247345700618364,0.30918212577295534,5.556527826391319,5.556527826391319
송파구,113957,8015,5708,269,22066,7.033354686416807,5.008906868380179,0.2360539501741885,5.244960818554367,5.244960818554367
서초구,68606,3488,2538,219,11476,5.084103431186777,3.6993848934495523,0.3192140629099496,4.018598956359503,4.018598956359503
